type_,address,area,price,metro_station,metro_line,date,update_date,floor,full_floor
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,10886308,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:22",3,13
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",35,10298957,Бунинская аллея м.,cyan,Размещено 12 марта,"сегодня, 00:22",3,13
3-комн.кв.,", 3",56,8366324,Станция не указана,Ветка не указана,Размещено 10 марта,"сегодня, 00:15",3,17
3-комн.кв.,", 3",56,8447531,Станция не указана,Ветка не указана,Размещено 10 марта,"сегодня, 00:26",7,17
3-комн.кв.,", 3",56,8370648,Станция не указана,Ветка не указана,Размещено 10 марта,30 марта,4,17
3-комн.кв.,", 3",56,8386710,Станция не указана,Ветка не указана,Размещено 10 марта,"сегодня, 00:14",4,17
2-комн.кв.,", 3",57,11538616,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:39",3,17
1-комн.кв.,", 3",38,8171067,Станция не указана,Ветка не указана,Размещено 26 марта,"сегодня, 00:18",16,17
1-комн.кв.,", 1к1",33,10329893,Станция не указана,Ветка не указана,Размещено 10 марта,"сегодня, 00:12",14,32
1-комн.кв.,", 3",35,7726440,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:29",5,17
1-комн.кв.,", 3",38,8082888,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:34",3,17
3-комн.кв.,", 3",56,8300560,Станция не указана,Ветка не указана,Размещено 10 марта,30 марта,3,17
1-комн.кв.,", 3",35,7799383,Станция не указана,Ветка не указана,Размещено 15 марта,"сегодня, 00:34",3,17
Студия,", 19",6,5850000,Станция не указана,Ветка не указана,Размещено 9 марта,26 марта,3,17
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к1",9,9971933,Бунинская аллея м.,cyan,Размещено 6 марта,"сегодня, 00:39",10,11
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к1",54,14780783,Бунинская аллея м.,cyan,Размещено 6 марта,"сегодня, 00:26",11,13
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",34,8124701,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,11
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10544268,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:27",13,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10188278,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:28",4,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39,8443479,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:28",8,15
2-комн.кв.,"Камова ул, д.7к1",37,7489747,Станция не указана,Ветка не указана,Размещено 5 марта,"сегодня, 00:28",10,17
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",41,8763083,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:32",4,15
3-комн.кв.,", 3",54,7485887,Станция не указана,Ветка не указана,Размещено 5 марта,"сегодня, 00:40",9,17
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",5,10735749,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:31",11,15
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",37,8698258,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:33",11,11
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",41,8848397,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:39",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",40,9091873,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",39,8479712,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15
2-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",56,10476631,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:27",8,15
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",50,10499730,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:27",8,15
1-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",6,6810295,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:26",8,15
3-комн.кв.,"Рязановское (п Рязановское) ш, 31к2",50,10277580,Бунинская аллея м.,cyan,Размещено 5 марта,"сегодня, 00:39",2,15
